label,name,sc,sc.abb
GCA_012931995.1_ASM1293199v1_protein,Albonectria albosuccinea,Albonectria,Alb
GCA_013266205.1_ASM1326620v1_protein,Albonectria rigidiuscula,Albonectria,Alb
GCA_002980475.2_ASM298047v2_protein,Fusarium beomiforme,burgessii,FBRSC
GCA_012932025.1_ASM1293202v1_protein,Fusarium austroafricanum,concolor,FCOSC
GCA_012932015.1_ASM1293201v1_protein,Fusarium acutatum,fujikuroi,FFSC
GCA_001654555.2_ASM165455v2_protein,Fusarium agapanthi,fujikuroi,FFSC
GCA_013364935.1_ASM1336493v1_protein,Fusarium anthophilum,fujikuroi,FFSC
GCA_013758895.1_ASM1375889v1_protein,Fusarium bulbicola,fujikuroi,FFSC
GCA_013396185.1_ASM1339618v1_protein,Fusarium circinatum,fujikuroi,FFSC
GCA_013781345.1_ASM1378134v1_protein,Fusarium coicis,fujikuroi,FFSC
GCA_013396175.1_ASM1339617v1_protein,Fusarium denticulatum,fujikuroi,FFSC
GCA_900079805.1_Fusarium_fujikuroi_IMI58289_V2_protein,Fusarium fujikuroi,fujikuroi,FFSC
GCA_013396165.1_ASM1339616v1_protein,Fusarium globosum,fujikuroi,FFSC
GCA_900044065.1_Genome_assembly_version_1_protein,Fusarium mangiferae,fujikuroi,FFSC
GCA_013396015.1_ASM1339601v1_protein,Fusarium mexicanum,fujikuroi,FFSC
GCA_013396205.1_ASM1339620v1_protein,Fusarium mundagurra,fujikuroi,FFSC
GCA_013396005.1_ASM1339600v1_protein,Fusarium napiforme,fujikuroi,FFSC
GCA_002894225.1_CS10214v1_protein,Fusarium nygamai,fujikuroi,FFSC
GCA_013396025.1_ASM1339602v1_protein,Fusarium phyllophilum,fujikuroi,FFSC
GCA_900067095.1_F._proliferatum_ET1_version_1_protein,Fusarium annulatum ET1,fujikuroi,FFSC
GCA_003615215.1_Fp_A8_v1_protein,Fusarium annulatum Fp A8,fujikuroi,FFSC
GCA_013395995.1_ASM1339599v1_protein,Fusarium pseudoanthophilum,fujikuroi,FFSC
GCA_013396035.1_ASM1339603v1_protein,Fusarium pseudocircinatum,fujikuroi,FFSC
fusotu1.proteins,Fusarium chuoi RH1,fujikuroi,FFSC
fusotu3.proteins,Fusarium chuoi RH3,fujikuroi,FFSC
fusotu5.proteins,Fusarium annulatum RH5,fujikuroi,FFSC
fusotu7.proteins,Fusarium proliferatum RH7,fujikuroi,FFSC
GCA_013396075.1_ASM1339607v1_protein,Fusarium subglutinans,fujikuroi,FFSC
GCA_013396195.1_ASM1339619v1_protein,Fusarium tjaetaba,fujikuroi,FFSC
GCA_000149555.1_ASM14955v1_protein,Fusarium verticillioides,fujikuroi,FFSC
GCA_013396295.1_ASM1339629v1_protein,Fusarium heterosporum,heterosporum,FHSC
GCA_003316985.1_ASM331698v1_protein,Fusarium coffeatum,incarnatum-equiseti,FIESC
GCA_003012295.1_FIESC_12_NRRL13405_FIE12Z_contigs_protein,Fusarium flagelliforme,incarnatum-equiseti,FIESC
fusotu6.proteins,Fusarium sp. 6,incarnatum-equiseti,FIESC
GCA_013266185.1_ASM1326618v1_protein,Fusarium sarcochroum,lateritium,FLSC
GCA_013266175.1_ASM1326617v1_protein,Fusarium gaditjirri,nisikadoi,FNSC
GCA_000350365.1_Foc4_1.0_protein,Fusarium odoratissimum,oxysporum,FOSC
GCA_003615085.1_FoC_Fus2_v1_protein,Fusarium oxysporum f. sp. cepae,oxysporum,FOSC
GCA_014154955.1_SMRT_HiC_Fo5176_protein,Fusarium oxysporum f. sp. conglutinans,oxysporum,FOSC
GCA_000260195.2_FO_II5_V1_protein,Fusarium oxysporum f. sp. cubense TR4,oxysporum,FOSC
